OBJECTID,LOCALID,NAME,GEOTYPE,FULLFIPS,LEGALAREA,EFFECTDATE,ENDDATE,SRCREF,ACRES,SQMILES,OLDNAME,NPU,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,SHAPE_Area,SHAPE_Length
142,,Audobon Forest West,Neighborhood,,,,,,133.28,0.21,Audobon Forest West,I,,,GIS,2022/05/24 15:38:28+00,{20934A29-AA78-4E9D-A22F-2910DB18A468},5805870.61415796,11817.2162135069
143,,Audobon Forest,Neighborhood,,,,,,497.42,0.78,Audobon Forest,I,,,GIS,2022/05/24 15:38:31+00,{7465F3E4-9466-46D5-8299-BD0A8EF959B0},21667356.8410515,26039.5522742471
144,,Cascade Heights,Neighborhood,,,,,,659.5,1.03,Cascade Heights,I,,,GIS,2022/05/24 15:38:28+00,{07A29FF9-9AF7-4BA7-8081-C6FB1AD8D5F2},28727609.0394362,43543.0064430274
145,,Westview,Neighborhood,,,,,,400.61,0.63,Westview,T,,,GIS,2022/05/24 15:38:28+00,{EF5FC411-CFD8-4626-9C8C-59DB5B50EF81},17450290.1984514,19026.3195493935
146,,West End,Neighborhood,,,,,,680.99,1.06,West End,T,,,GIS,2022/05/24 15:38:29+00,{27B4B1D9-613B-4D24-951B-10C43AD02A85},29663975.8382223,25641.3382498227
147,,Ashview Heights,Neighborhood,,,,,,174.84,0.27,Ashview Heights,T,,,GIS,2022/05/24 15:38:29+00,{C5382063-DD98-416E-BF59-994B77584168},7615940.71698386,13510.2857959679
148,,Atlanta University Center,Neighborhood,,,,,,331.57,0.52,Atlanta University,T,,,GIS,2022/05/24 15:38:20+00,{D6CAF694-B83F-4CB9-B351-CA3E3145D0C7},14443249.7014755,21653.180629898
149,,Hunter Hills,Neighborhood,,,,,,322.58,0.5,Hunter Hills,K,,,GIS,2022/05/24 15:38:20+00,{8A4F3C84-CCC3-478C-82BA-7E4174935428},14051490.0891664,15264.6398183663
150,,Historic Westin Heights/Bankhead,Neighborhood,,,,,,416.09,0.65,Bankhead,K,,,GIS,2022/05/24 15:38:20+00,{70303C29-B16F-4E33-9FEC-A33B2244D3AB},18124781.6591654,18650.2262996435
151,,English Avenue,Neighborhood,,,,,,519.0,0.81,English Avenue,L,,,GIS,2022/05/24 15:38:20+00,{9B6F9DF9-B38E-46FB-993B-4D1DA42AC049},22607461.7652482,22909.9710898171
152,,Adair Park,Neighborhood,,,,,,289.28,0.45,Adair Park,V,,,GIS,2022/05/24 15:38:20+00,{D8FD5CB2-4D90-4EEB-A33A-B52E6D66E345},12600960.784733,18817.4307127799
153,,Mechanicsville,Neighborhood,,,,,,458.04,0.72,Mechanicsville,V,,,GIS,2022/05/24 15:38:20+00,{A855553A-F773-43F8-B387-2141FA16789D},19952180.2042268,20670.8117902358
154,,Capitol Gateway,Neighborhood,,,,,,84.01,0.13,Capitol Homes,V,,,GIS,2022/05/24 15:38:20+00,{3A97A58B-6747-4484-9522-91E111459365},3659381.64319955,7892.30943033524
155,,Grant Park,Neighborhood,,,,,,1108.24,1.73,Grant Park,W,,,GIS,2022/05/24 15:38:20+00,{7FE35433-34E9-4BC6-89E4-040064B1C526},48274661.4321185,30379.4496815801
156,,Hammond Park,Neighborhood,,,,,,389.94,0.61,Hammond Park,X,,,GIS,2022/05/24 15:38:20+00,{6B2192E3-7F7E-4944-A24B-70E9C23B7035},16985726.8154379,18065.803310517
157,,Capitol View,Neighborhood,,,,,,368.52,0.58,Capitol View,X,,,GIS,2022/05/24 15:38:20+00,{D5304CF1-D578-45C5-86AB-49E143BBEB2F},16052870.5272417,19524.4168906967
158,,High Point,Neighborhood,,,,,,65.21,0.1,High Point,Y,,,GIS,2022/05/24 15:38:20+00,{261B198D-A526-4532-95B7-98C9646C8F0E},2840400.47116473,7025.15020048679
159,,Joyland,Neighborhood,,,,,,86.37,0.13,Joyland,Y,,,GIS,2022/05/24 15:38:20+00,{516A024F-6B8A-4EB5-B98D-250FBFF4A945},3762423.82893647,7962.46073639403
160,,Betmar LaVilla,Neighborhood,,,,,,72.47,0.11,Betmar La Villa,Y,,,GIS,2022/05/24 15:38:20+00,{B1E012FF-310C-40FE-A1EE-684FEA37C37A},3156767.59205895,9015.80149314055
161,,The Villages at Carver,Neighborhood,,,,,,108.05,0.17,Carver Homes,Y,,,GIS,2022/05/24 15:38:20+00,{1C318454-84A7-4344-BC90-BC8E43C9CA27},4706681.21847399,9706.3937490816
163,,Fort McPherson,Neighborhood,,,,,,515.65,0.81,Fort McPherson,S,,,GIS,2022/05/24 15:38:21+00,{599C9196-A55D-4D03-A77F-55C24D008CCC},22461587.1806837,19595.1073253483
164,,Venetian Hills,Neighborhood,,,,,,615.88,0.96,Venetian Hills,S,,,GIS,2022/05/24 15:38:21+00,{7741E693-091A-4BA3-A44C-881B49ED3C50},26827771.1209231,23347.872394407
165,,Pomona Park,Neighborhood,,,,,,46.73,0.07,Pamond Park,R,,,GIS,2022/05/24 15:38:21+00,{D4354C45-AC27-41E6-A3F3-322A84940530},2035340.61205973,6808.4167041702
166,,Fort Valley,Neighborhood,,,,,,23.11,0.04,Fort Valley,R,,,GIS,2022/05/24 15:38:21+00,{8FE5DE3F-CB5E-44F1-9246-952DD08BB6CE},1006873.64390191,4199.58966260524
167,,Greenbriar,Neighborhood,,,,,,655.27,1.02,Greenbriar,R,,,GIS,2022/05/24 16:45:55+00,{03870B67-64B1-4A40-ADFB-85C5A5D8211B},28408872.2582211,37425.7240622811
168,,Laurens Valley,Neighborhood,,,,,,124.57,0.19,Laurens Valley,R,,,GIS,2022/05/24 15:38:21+00,{8B6E4A13-C490-46C7-BC50-A020A0D85BF2},5426095.94458749,9536.40418604823
169,,Heritage Valley,Neighborhood,,,,,,243.23,0.38,Heritage Valley,P,,,GIS,2022/05/24 15:38:21+00,{111063FC-582A-4C1D-8E3B-0D4B026AE98E},10595220.6861335,13757.6846810903
